freq,V1_brugada,V1_healthy,V2_brugada,V2_healthy,V3_brugada,V3_healthy
0.0,9.934082542080749e-15,9.200369934502383e-15,1.1258305077249595e-14,1.1182681190064983e-14,1.0931674245367121e-14,1.013681892049056e-14
0.08333333333333333,18.792044650887117,15.066204916607708,15.938059445786655,15.944423757535525,15.031489146510012,13.631184328551642
0.16666666666666666,20.243290550246634,16.285197970976427,17.603993224001496,17.13051025574195,16.81741617171299,14.64485732841914
0.25,23.68217765896462,19.101740390804107,21.125135741753724,20.00035557348884,20.362138240462553,17.3888882987728
0.3333333333333333,30.3096353146702,24.102788185136152,26.507671220228644,25.6004913733274,25.310491898813993,22.661367691608
0.41666666666666663,36.16857383408051,29.42064656320493,32.95295871022942,31.819716482548415,29.80171672662843,28.896276545958834
0.5,39.79005009404386,32.801224293691,37.897552851828436,33.20987918026752,33.609929131981765,31.337634610587223
0.5833333333333333,43.23406381782749,34.00400508229988,37.98618566780964,34.796952456885414,33.83621882541322,33.98739233177796
0.6666666666666666,38.55246673264947,36.16423230271093,34.11013810521047,37.100228406939905,30.50212250115933,36.84873640976608
0.75,33.16270803928772,33.47321264243431,32.71255793923102,36.96204979473087,32.14493523857377,39.15268418048897
0.8333333333333333,34.388406821786205,33.65996800181516,35.57632244708527,40.64722451822319,36.89875655756359,44.22220290597049
0.9166666666666666,46.7220580761031,38.756057830550105,52.94925023575473,54.22818909924687,58.46738184191767,61.42846149753623
1.0,44.135823903120794,52.581643227377604,56.31784465241255,78.4093460077761,61.21995575327214,97.1095584005644
1.0833333333333333,52.8168001912941,57.887293586064544,72.95104138788042,76.43323532718429,72.72086426680534,89.30552857413042
1.1666666666666665,65.00938385821907,53.98336412313291,85.92396020982714,84.0851955780104,85.08843853507494,95.62974026294306
1.25,65.07953938280143,56.972840658983856,81.97851473439604,77.1321882849614,78.26744038277663,83.32303736923124
1.3333333333333333,49.95486001017455,44.78491988291038,62.445870041456885,59.95132385508113,69.69777344201643,59.3024370865442
1.4166666666666665,30.973001371655506,33.216528121536285,39.524942276200676,42.42939076895712,40.52317353194735,43.337556583387254
1.5,25.177501036151703,30.17596212011786,33.494661522202904,32.66819852010044,32.05140083686922,35.653140690706834
1.5833333333333333,29.438683106694906,32.19661863486545,34.46890820873341,37.095026312949294,29.806194300866878,40.26893645128008
1.6666666666666665,25.801769217882374,33.361316148546024,29.455851973501705,36.33364105262698,25.97986345252562,37.22737035273767
1.75,30.96971805578274,31.21514413370906,37.50758787181122,39.44888107424952,32.593926369015236,34.231839654056586
1.8333333333333333,30.565126399370616,30.17725864788969,39.996260749891235,39.2635503102219,35.73651775643505,35.7871307383941
1.9166666666666665,36.90921328982798,38.06797156116675,46.32542756204293,53.15594146113945,37.20669208501749,51.03890693674146
2.0,38.3133731578517,39.97571970918079,45.84060109461661,58.59334795114762,37.641281191307975,55.068641702487085
2.083333333333333,43.715743980362596,39.7786093484085,49.383422351766555,60.8427798152923,45.64628118941137,54.97829947463013
2.1666666666666665,51.021945324627445,49.62269073840979,54.54348624298222,61.24361402218325,46.02689599932532,56.37996627371422
2.25,54.23149831811744,46.140472495752306,54.97150770928222,59.19308524236001,46.513430869535256,56.867205587909694
2.333333333333333,62.60611476674292,47.082636709778676,70.88988173392903,63.143058630290845,54.70797538036903,53.24833589588626
2.4166666666666665,54.181355946324,42.801614390082946,57.62648325398109,59.16837724208626,45.83716688489229,51.12202041618153
2.5,62.42583268467073,44.634487388332204,66.70319557500426,61.0445463287296,56.943826260463766,54.059852250683036
2.583333333333333,64.79019620040002,49.89254946856394,66.21745987332905,60.44007444342615,55.164040555532544,53.35195809067744
