threshold,recall,caught,false_alarm,d_caught,d_false_alarm
0.1,0.899,62,132,,
0.15,0.783,54,97,-8.0,-35.0
0.2,0.71,49,63,-5.0,-34.0
0.25,0.652,45,49,-4.0,-14.0
0.3,0.565,39,35,-6.0,-14.0
0.35,0.551,38,30,-1.0,-5.0
0.4,0.493,34,23,-4.0,-7.0
0.45,0.42,29,16,-5.0,-7.0
0.5,0.333,23,10,-6.0,-6.0
0.55,0.275,19,9,-4.0,-1.0
0.6,0.174,12,5,-7.0,-4.0
0.65,0.13,9,2,-3.0,-3.0
0.7,0.116,8,1,-1.0,-1.0
0.75,0.043,3,0,-5.0,-1.0
0.8,0.0,0,0,-3.0,0.0
0.85,0.0,0,0,0.0,0.0
0.9,0.0,0,0,0.0,0.0
